location,pm25,pm10,co2,timestamp
Dadar,110.31,103.52,4844.34,2024-11-24 17:14:38
Jogeshwari,470.88,338.96,2741.32,2024-11-24 17:14:43
Parel,371.37,187.4,2553.23,2024-11-24 17:14:48
Saki Naka,451.2,292.82,1753.72,2024-11-24 17:14:53
Worli,483.02,30.61,1884.68,2024-11-24 17:14:58
Colaba,377.73,9.93,3908.26,2024-11-24 17:15:03
Dahisar,417.46,421.83,2655.74,2024-11-24 17:15:08
Vile Parle,292.95,433.7,1034.6,2024-11-24 17:15:13
Nariman Point,288.47,84.95,4961.65,2024-11-24 17:15:18
Versova,432.52,21.22,1974.8,2024-11-24 17:15:23
Marine Drive,445.94,261.92,2929.85,2024-11-24 17:15:28
Vashi,16.5,305.8,3903.61,2024-11-24 17:15:33
Thane,479.85,99.34,4920.16,2024-11-24 17:15:38
Kandivali West,12.43,405.95,2051.61,2024-11-24 17:15:43
Thane,95.29,107.27,3955.56,2024-11-24 17:15:48
Khar,428.61,273.71,1249.11,2024-11-24 17:15:53
Mulund,52.62,437.67,3797.44,2024-11-24 17:15:58
Mahalaxmi,480.26,264.91,4952.65,2024-11-24 17:16:03
Bhayandar,169.06,11.83,3492.73,2024-11-24 17:16:08
Kurla,219.28,405.77,1163.7,2024-11-24 17:16:13
Bhayandar,336.79,11.14,2826.91,2024-11-24 17:16:18
Ghatkopar,244.87,17.7,4688.52,2024-11-24 17:16:23
Khar,485.52,55.59,4763.95,2024-11-24 17:16:28
Bhayandar,364.38,245.39,3871.38,2024-11-24 17:16:33
Kandivali East,364.91,331.64,712.5,2024-11-24 17:16:38
Khar,182.33,279.28,4095.77,2024-11-24 17:16:43
Saki Naka,290.48,433.0,640.83,2024-11-24 17:16:48
Matunga,286.36,184.69,2115.3,2024-11-24 17:16:53
Mahalaxmi,88.93,24.45,2368.57,2024-11-24 17:16:58
Kandivali,485.67,189.61,4542.08,2024-11-24 17:17:03
Vile Parle,347.85,355.34,1953.3,2024-11-24 17:17:08
Kandivali West,409.18,294.95,3348.0,2024-11-24 17:17:13
Andheri,475.73,136.1,3336.39,2024-11-24 17:17:18
Kandivali,103.23,314.3,1635.1,2024-11-24 17:17:23
Parel,77.4,346.69,4259.03,2024-11-24 17:17:28
Kandivali West,31.01,93.26,4159.06,2024-11-24 17:17:33
Andheri,453.2,484.86,1905.66,2024-11-24 17:17:38
Chembur,124.97,199.88,1975.31,2024-11-24 17:17:43
Saki Naka,384.78,87.3,3013.4,2024-11-24 17:17:48
Kandivali,413.22,375.24,2250.47,2024-11-24 17:17:53
Santacruz,65.84,22.31,2471.35,2024-11-24 17:17:58
Malad,404.16,231.67,646.05,2024-11-24 17:18:03
Andheri,6.81,495.83,329.42,2024-11-24 17:18:08
Vile Parle,216.06,13.37,4242.01,2024-11-24 17:18:13
Dahisar,292.68,32.29,1188.09,2024-11-24 17:18:18
Vashi,417.98,372.02,1367.83,2024-11-24 17:18:23
Sion,357.98,72.15,1419.5,2024-11-24 17:18:28
Dahisar,319.87,37.7,1874.44,2024-11-24 17:18:33
Kandivali,183.41,342.26,1353.03,2024-11-24 17:18:38
Versova,43.86,16.14,3801.63,2024-11-24 17:18:43
Bandra,107.19,474.57,4546.55,2024-11-24 17:18:48
Saki Naka,263.36,249.86,1460.11,2024-11-24 17:18:53
Marine Drive,294.45,458.06,4140.26,2024-11-24 17:18:58
Santacruz,436.84,392.61,945.94,2024-11-24 17:19:03
Prabhadevi,185.29,471.55,493.32,2024-11-24 17:19:08
Malad,189.98,184.01,2390.16,2024-11-24 17:19:13
Khar,271.49,191.64,2627.39,2024-11-24 17:19:18
Lower Parel,382.28,290.5,630.25,2024-11-24 17:19:23
Ghatkopar,111.65,164.28,4479.06,2024-11-24 17:19:28
Khar,224.89,38.89,1846.19,2024-11-24 17:19:33
Lower Parel,123.88,82.2,596.07,2024-11-24 17:19:38
Vile Parle,107.72,103.87,2849.01,2024-11-24 17:19:43
Nariman Point,271.59,204.46,2115.74,2024-11-24 17:19:48
Worli,409.3,50.95,3409.9,2024-11-24 17:19:53
Nariman Point,187.34,206.96,3847.19,2024-11-24 17:19:58
Bandra,374.6,72.6,4993.61,2024-11-24 17:20:03
Kurla,0.7,31.39,2155.72,2024-11-24 17:20:08
Sion,143.18,72.67,470.21,2024-11-24 17:20:13
Borivali,417.57,256.92,393.98,2024-11-24 17:20:18
Worli,283.04,478.74,2173.18,2024-11-24 17:20:23
Ghatkopar,484.04,305.04,846.06,2024-11-24 17:20:28
Sion,118.1,230.47,1478.6,2024-11-24 17:20:33
Kandivali,447.91,339.17,4905.99,2024-11-24 17:20:38
Prabhadevi,14.5,392.14,633.17,2024-11-24 17:20:43
Mahalaxmi,287.73,131.17,3992.48,2024-11-24 17:20:48
Kurla,269.62,180.87,2413.68,2024-11-24 17:20:53
Saki Naka,124.61,423.1,600.68,2024-11-24 17:20:58
Vashi,119.18,34.29,3523.08,2024-11-24 17:21:03
Bandra,477.95,111.07,649.43,2024-11-24 17:21:08
Versova,188.09,25.1,4889.37,2024-11-24 17:21:13
Jogeshwari,129.07,142.06,999.52,2024-11-24 17:21:18
Dahisar,402.41,337.52,1310.57,2024-11-24 17:21:23
Malad,90.66,30.84,3188.27,2024-11-24 17:21:28
Vile Parle,387.79,110.74,956.81,2024-11-24 17:21:33
Parel,290.23,37.92,3065.05,2024-11-24 17:21:38
Kandivali West,326.49,489.15,556.76,2024-11-24 17:21:43
