service,usage,status,timestamp
Electricity,8135.25,Non-Operational,2024-11-24 17:14:38
Electricity,641.48,Operational,2024-11-24 17:14:43
Electricity,6736.08,Non-Operational,2024-11-24 17:14:48
Waste Management,2116.17,Non-Operational,2024-11-24 17:14:53
Electricity,5198.27,Operational,2024-11-24 17:14:58
Water,4442.32,Partially Operational,2024-11-24 17:15:03
Waste Management,4476.82,Partially Operational,2024-11-24 17:15:08
Electricity,1041.34,Partially Operational,2024-11-24 17:15:13
Water,571.66,Partially Operational,2024-11-24 17:15:18
Waste Management,7534.07,Partially Operational,2024-11-24 17:15:23
Electricity,495.68,Operational,2024-11-24 17:15:28
Water,3188.49,Operational,2024-11-24 17:15:33
Electricity,5242.09,Operational,2024-11-24 17:15:38
Electricity,9731.16,Non-Operational,2024-11-24 17:15:43
Waste Management,4197.98,Partially Operational,2024-11-24 17:15:48
Waste Management,9627.32,Operational,2024-11-24 17:15:53
Electricity,8324.69,Partially Operational,2024-11-24 17:15:58
Water,6399.95,Operational,2024-11-24 17:16:03
Electricity,1592.0,Non-Operational,2024-11-24 17:16:08
Water,6924.74,Partially Operational,2024-11-24 17:16:13
Waste Management,9270.12,Non-Operational,2024-11-24 17:16:18
Waste Management,8249.22,Partially Operational,2024-11-24 17:16:23
Water,1411.63,Partially Operational,2024-11-24 17:16:28
Electricity,203.37,Partially Operational,2024-11-24 17:16:33
Waste Management,3458.45,Non-Operational,2024-11-24 17:16:38
Water,5593.0,Operational,2024-11-24 17:16:43
Water,7260.93,Non-Operational,2024-11-24 17:16:48
Water,6564.74,Non-Operational,2024-11-24 17:16:53
Waste Management,1638.25,Partially Operational,2024-11-24 17:16:58
Water,4877.67,Partially Operational,2024-11-24 17:17:03
Water,3002.12,Operational,2024-11-24 17:17:08
Electricity,2047.64,Partially Operational,2024-11-24 17:17:13
Water,6587.85,Operational,2024-11-24 17:17:18
Waste Management,8623.74,Partially Operational,2024-11-24 17:17:23
Electricity,3857.15,Non-Operational,2024-11-24 17:17:28
Waste Management,7116.65,Operational,2024-11-24 17:17:33
Waste Management,1384.71,Operational,2024-11-24 17:17:38
Water,3848.46,Non-Operational,2024-11-24 17:17:43
Waste Management,4204.47,Operational,2024-11-24 17:17:48
Water,6122.98,Non-Operational,2024-11-24 17:17:53
Water,5678.79,Non-Operational,2024-11-24 17:17:58
Water,3952.37,Operational,2024-11-24 17:18:03
Water,6388.63,Partially Operational,2024-11-24 17:18:08
Electricity,3924.74,Non-Operational,2024-11-24 17:18:13
Waste Management,4920.58,Non-Operational,2024-11-24 17:18:18
Waste Management,8372.62,Non-Operational,2024-11-24 17:18:23
Waste Management,5591.77,Partially Operational,2024-11-24 17:18:28
Electricity,8656.48,Operational,2024-11-24 17:18:33
Electricity,9869.85,Operational,2024-11-24 17:18:38
Water,8408.2,Operational,2024-11-24 17:18:43
Waste Management,3090.42,Partially Operational,2024-11-24 17:18:48
Water,1881.67,Partially Operational,2024-11-24 17:18:53
Electricity,9166.38,Operational,2024-11-24 17:18:58
Water,8894.12,Partially Operational,2024-11-24 17:19:03
Electricity,1979.42,Partially Operational,2024-11-24 17:19:08
Water,551.99,Operational,2024-11-24 17:19:13
Electricity,7196.34,Operational,2024-11-24 17:19:18
Electricity,2103.11,Partially Operational,2024-11-24 17:19:23
Waste Management,8125.52,Operational,2024-11-24 17:19:28
Waste Management,1206.83,Partially Operational,2024-11-24 17:19:33
Water,8692.02,Operational,2024-11-24 17:19:38
Waste Management,9110.85,Partially Operational,2024-11-24 17:19:43
Electricity,4588.91,Operational,2024-11-24 17:19:48
