location,vehicle_count,average_speed,congestion_level,timestamp
Matunga,999,71.55,Moderate,2024-11-24 17:14:38
Matunga,756,70.61,Low,2024-11-24 17:14:43
Thane,516,34.58,Moderate,2024-11-24 17:14:48
Kurla,366,97.33,Moderate,2024-11-24 17:14:53
Santacruz,257,47.62,Low,2024-11-24 17:14:58
Versova,790,37.64,High,2024-11-24 17:15:03
Sion,608,61.12,Low,2024-11-24 17:15:08
Santacruz,188,41.47,High,2024-11-24 17:15:13
Vashi,342,46.57,Moderate,2024-11-24 17:15:18
Vashi,281,36.93,Low,2024-11-24 17:15:23
Mahalaxmi,96,38.25,Moderate,2024-11-24 17:15:28
Bandra,349,43.27,Moderate,2024-11-24 17:15:33
Saki Naka,693,90.34,Low,2024-11-24 17:15:38
Kurla,457,32.88,Low,2024-11-24 17:15:43
Malad,409,24.02,High,2024-11-24 17:15:48
Vashi,706,97.7,High,2024-11-24 17:15:53
Vile Parle,428,83.73,Low,2024-11-24 17:15:58
Jogeshwari,692,50.6,Low,2024-11-24 17:16:03
Jogeshwari,717,48.72,Low,2024-11-24 17:16:08
Vile Parle,317,48.84,Low,2024-11-24 17:16:13
Malad,400,51.73,Low,2024-11-24 17:16:18
Dahisar,798,46.06,Moderate,2024-11-24 17:16:23
Worli,533,33.96,Low,2024-11-24 17:16:28
Kandivali East,620,74.38,Low,2024-11-24 17:16:33
Vile Parle,813,43.28,High,2024-11-24 17:16:38
Kandivali West,781,91.55,Moderate,2024-11-24 17:16:43
Kandivali West,812,21.86,High,2024-11-24 17:16:48
Thane,659,91.66,High,2024-11-24 17:16:53
Saki Naka,508,54.64,Moderate,2024-11-24 17:16:58
Prabhadevi,786,92.72,High,2024-11-24 17:17:03
Kurla,155,69.64,High,2024-11-24 17:17:08
Thane,746,78.37,Moderate,2024-11-24 17:17:13
Kandivali,729,91.6,High,2024-11-24 17:17:18
Malad,391,55.13,Moderate,2024-11-24 17:17:23
Matunga,634,66.24,Moderate,2024-11-24 17:17:28
Chembur,994,28.11,Moderate,2024-11-24 17:17:33
Saki Naka,705,74.55,High,2024-11-24 17:17:38
Parel,586,77.77,Low,2024-11-24 17:17:43
Parel,506,38.57,Low,2024-11-24 17:17:48
Kurla,95,82.76,Low,2024-11-24 17:17:53
Saki Naka,703,95.29,Moderate,2024-11-24 17:17:58
Saki Naka,431,93.87,Moderate,2024-11-24 17:18:03
Mahalaxmi,108,23.85,Moderate,2024-11-24 17:18:08
Kandivali West,169,28.99,Low,2024-11-24 17:18:13
Sion,130,93.3,High,2024-11-24 17:18:18
Dahisar,95,48.79,High,2024-11-24 17:18:23
Jogeshwari,452,27.48,High,2024-11-24 17:18:28
Parel,901,30.88,Low,2024-11-24 17:18:33
Kandivali,949,59.56,High,2024-11-24 17:18:38
Vile Parle,190,22.93,Low,2024-11-24 17:18:43
Mulund,952,80.81,Low,2024-11-24 17:18:48
Jogeshwari,774,38.46,High,2024-11-24 17:18:53
Borivali,603,58.31,Moderate,2024-11-24 17:18:58
Dadar,844,33.53,High,2024-11-24 17:19:03
Lower Parel,240,75.74,Moderate,2024-11-24 17:19:08
Mulund,133,47.44,Moderate,2024-11-24 17:19:13
Vashi,569,56.32,High,2024-11-24 17:19:18
Marine Drive,452,27.81,High,2024-11-24 17:19:23
Borivali,660,43.67,Low,2024-11-24 17:19:28
Malad,575,65.96,Moderate,2024-11-24 17:19:33
Lower Parel,605,31.11,Moderate,2024-11-24 17:19:38
Andheri,150,31.68,Low,2024-11-24 17:19:43
Parel,169,96.67,High,2024-11-24 17:19:48
Versova,867,97.48,Low,2024-11-24 17:19:53
Colaba,957,22.38,High,2024-11-24 17:19:58
Khar,696,27.36,Moderate,2024-11-24 17:20:03
Matunga,242,94.85,Moderate,2024-11-24 17:20:08
