location,temperature,humidity,rainfall,wind_speed,timestamp
Kurla,19.26,94,189.74,4.96,2024-11-24 17:14:38
Vashi,-8.68,98,144.84,5.69,2024-11-24 17:14:43
Parel,37.59,47,196.5,9.54,2024-11-24 17:14:48
Chembur,28.48,55,10.42,9.32,2024-11-24 17:14:53
Vile Parle,36.56,39,57.11,19.29,2024-11-24 17:14:58
Colaba,29.88,100,195.67,15.97,2024-11-24 17:15:03
Saki Naka,16.52,88,150.3,8.01,2024-11-24 17:15:08
Vile Parle,34.37,39,161.13,6.74,2024-11-24 17:15:13
Andheri,-0.9,86,77.23,5.34,2024-11-24 17:15:18
Ghatkopar,22.93,38,4.75,19.12,2024-11-24 17:15:23
Matunga,30.85,45,77.91,1.4,2024-11-24 17:15:28
Vashi,-0.91,34,169.66,2.47,2024-11-24 17:15:33
Bhayandar,-0.92,41,174.75,2.17,2024-11-24 17:15:38
Thane,-9.3,59,142.8,0.66,2024-11-24 17:15:43
Vashi,-2.37,96,198.36,1.21,2024-11-24 17:15:48
Andheri,8.0,33,88.75,13.95,2024-11-24 17:15:53
Worli,11.07,54,195.62,18.82,2024-11-24 17:15:58
Sion,39.1,72,14.85,0.31,2024-11-24 17:16:03
Dadar,12.77,55,146.91,4.55,2024-11-24 17:16:08
Dahisar,17.7,33,194.08,19.89,2024-11-24 17:16:13
Andheri,10.61,74,14.19,19.32,2024-11-24 17:16:18
Marine Drive,4.46,35,11.67,17.36,2024-11-24 17:16:23
Malad,25.74,46,9.41,9.79,2024-11-24 17:16:28
Mulund,34.39,94,98.94,8.79,2024-11-24 17:16:33
Saki Naka,37.52,91,76.26,12.34,2024-11-24 17:16:38
Saki Naka,9.9,31,2.92,17.89,2024-11-24 17:16:43
Matunga,1.49,59,15.48,9.35,2024-11-24 17:16:48
Ghatkopar,-1.27,32,112.5,16.43,2024-11-24 17:16:53
Jogeshwari,36.19,20,98.03,0.46,2024-11-24 17:16:58
Lower Parel,29.14,23,128.87,3.66,2024-11-24 17:17:03
Chembur,22.86,99,61.98,16.79,2024-11-24 17:17:08
Kandivali West,19.05,28,156.84,0.66,2024-11-24 17:17:13
Matunga,24.4,76,0.51,0.74,2024-11-24 17:17:18
Lower Parel,1.36,71,32.33,8.6,2024-11-24 17:17:23
Malad,19.37,76,129.17,17.5,2024-11-24 17:17:28
Vashi,19.98,71,156.43,18.15,2024-11-24 17:17:33
Nariman Point,-1.77,52,59.66,12.77,2024-11-24 17:17:38
Jogeshwari,2.25,63,44.59,12.96,2024-11-24 17:17:43
Jogeshwari,21.08,97,198.53,10.8,2024-11-24 17:17:48
Santacruz,-1.76,47,149.49,10.37,2024-11-24 17:17:53
Vashi,-1.79,57,198.93,18.89,2024-11-24 17:17:58
Santacruz,39.4,87,165.89,18.36,2024-11-24 17:18:03
Thane,39.95,59,93.95,19.2,2024-11-24 17:18:08
Vashi,28.57,50,35.81,18.65,2024-11-24 17:18:13
Prabhadevi,25.13,69,153.81,16.4,2024-11-24 17:18:18
Khar,15.95,35,38.8,17.51,2024-11-24 17:18:23
